SNO,Xdata,Ydata,Zdata
27567,16,-36,58
27568,16,-36,58
27569,-21,61,5
27570,27,-59,-1
27571,27,-59,-1
27572,27,73,-28
27573,27,73,-28
27574,-9,-13,-12
27575,-18,21,-30
27576,-18,21,-30
27577,34,17,-2
27578,28,12,3
27579,28,12,3
27580,-5,-34,-9
27581,-5,-34,-9
27582,-5,49,11
27583,29,-12,-45
27584,29,-12,-45
27585,-3,-78,-56
27586,3,2,-17
27587,3,2,-17
27588,55,13,67
27589,55,13,67
27590,11,13,40
27591,-41,-10,-28
27592,-41,-10,-28
27593,11,4,-10
27594,18,-71,44
27595,18,-71,44
27596,18,31,-58
27597,18,31,-58
27598,16,-27,-38
27599,6,25,16
27600,6,25,16
27601,16,-15,-80
27602,23,-28,-27
27603,23,-28,-27
27604,29,9,-48
27605,29,9,-48
27606,-27,12,-14
27607,-14,-45,-12
27608,-14,-45,-12
27609,-1,27,1
27610,-15,23,-1
27611,-15,23,-1
27612,-7,-20,-43
27613,-7,-20,-43
27614,-4,0,16
27615,22,19,17
27616,22,19,17
27617,-7,-20,-56
27618,-8,32,-20
27619,-8,32,-20
27620,20,-3,27
27621,20,-3,27
27622,9,-12,16
27623,17,17,-52
27624,17,17,-52
27625,23,-27,-7
27626,30,-27,40
27627,30,-27,40
27628,13,6,-5
27629,13,6,-5
27630,3,-5,23
27631,22,0,18
27632,22,0,18
27633,32,-11,6
27634,-19,-1,-9
27635,-19,-1,-9
27636,-21,-57,-5
27637,-21,-57,-5
27638,25,10,-59
27639,-6,3,71
27640,-6,3,71
27641,-9,85,0
27642,-12,-38,-5
27643,-12,-38,-5
27644,-3,31,-52
27645,-3,31,-52
27646,-13,-56,-48
27647,19,29,9
27648,19,29,9
27649,26,-77,19
27650,19,32,3
27651,19,32,3
27652,-32,-59,-15
27653,-32,-59,-15
27654,10,29,18
27655,6,-57,36
27656,6,-57,36
27657,-7,-1,-25
27658,-7,-1,-25
27659,1,-26,14
27660,2,5,14
27661,2,5,14
27662,15,-27,-1
27663,13,-6,-25
27664,13,-6,-25
27665,34,-16,38
27666,34,-16,38
27667,27,8,-56
27668,-2,17,-22
27669,-2,17,-22
27670,-11,37,-22
27671,-34,-32,-43
27672,-34,-32,-43
27673,0,9,8
27674,0,9,8
27675,-1,-47,12
27676,10,73,-35
27677,10,73,-35
27678,-32,-26,7
27679,-4,32,22
27680,-4,32,22
27681,16,-32,29
27682,16,-32,29
27683,-9,4,-26
27684,-10,-53,59
27685,-10,-53,59
27686,-15,8,-10
27687,15,-55,5
27688,15,-55,5
27689,11,-15,10
27690,11,-15,10
27691,-20,-28,-37
27692,2,12,40
27693,2,12,40
27694,2,24,5
27695,-17,-35,-10
27696,-17,-35,-10
27697,-28,-11,-5
27698,-28,-11,-5
27699,-7,0,3
27700,-5,10,17
27701,-5,10,17
27702,-6,-5,-35
27703,-10,-5,39
27704,-10,-5,39
27705,7,12,-14
27706,7,12,-14
27707,-12,-52,19
27708,-16,81,-77
27709,-16,81,-77
27710,-15,-72,5
27711,-11,64,19
27712,-11,64,19
27713,-19,-94,-20
27714,-19,-94,-20
27715,-26,55,-27
27716,10,-51,-8
27717,10,-51,-8
27718,-8,32,61
27719,16,-7,-23
27720,16,-7,-23
27721,-6,-9,-21
27722,-6,-9,-21
27723,37,8,7
27724,-13,13,20
27725,-13,13,20
27726,-16,60,-8
27727,-4,-50,22
27728,-4,-50,22
27729,13,44,-12
27730,13,44,-12
27731,21,-22,7
27732,-20,26,24
27733,-20,26,24
27734,-6,17,-41
27735,-14,29,22
27736,-14,29,22
27737,-13,9,87
27738,-13,9,87
27739,1,20,-7
27740,-16,-2,-19
27741,-16,-2,-19
27742,34,6,10
27743,34,6,10
27744,28,59,27
27745,-13,-3,29
27746,-13,-3,29
27747,-46,-87,-27
27748,21,55,-27
27749,21,55,-27
27750,-14,-9,-20
27751,-14,-9,-20
27752,-3,-13,-4
27753,16,-42,-46
27754,16,-42,-46
27755,24,21,-34
27756,-6,-67,13
27757,-6,-67,13
27758,-5,11,1
27759,-5,11,1
27760,80,-12,16
27761,-18,35,-16
27762,-18,35,-16
27763,-49,-68,-105
27764,-14,1,-34
27765,-14,1,-34
27766,-4,21,66
27767,-4,21,66
27768,-13,7,9
27769,-3,-67,-9
27770,-3,-67,-9
27771,15,27,-16
27772,13,-64,19
27773,13,-64,19
27774,47,33,2
27775,47,33,2
27776,13,-2,-44
27777,-1,6,28
27778,-1,6,28
27779,-3,-2,-17
27780,-39,-107,-23
27781,-39,-107,-23
27782,28,-2,22
27783,28,-2,22
27784,11,-13,-9
27785,25,12,-10
27786,25,12,-10
27787,19,-20,-58
27788,13,34,-27
27789,13,34,-27
27790,-4,-30,35
27791,-4,-30,35
27792,10,-4,15
27793,15,-18,12
27794,15,-18,12
27795,8,46,-33
27796,-18,4,-11
27797,-18,4,-11
27798,-20,-12,27
27799,-20,-12,27
27800,23,14,63
27801,-34,-27,-9
27802,-34,-27,-9
27803,10,-46,10
27804,35,46,-11
27805,35,46,-11
27806,10,-16,-12
27807,10,-16,-12
27808,3,-19,22
27809,22,10,-37
27810,22,10,-37
27811,34,30,29
27812,-13,68,-26
27813,-13,68,-26
27814,-26,-70,-3
27815,-26,-70,-3
27816,1,-19,-7
27817,12,-21,-36
27818,12,-21,-36
27819,2,4,-24
27820,25,-42,-18
27821,25,-42,-18
27822,34,19,43
27823,34,19,43
27824,-18,-62,-58
27825,4,-1,1
27826,4,-1,1
27827,20,70,21
27828,20,70,21
27829,-18,19,-46
27830,-32,-36,-35
27831,-32,-36,-35
27832,-1,26,46
27833,8,35,-13
27834,8,35,-13
27835,-36,-14,-30
27836,-36,-14,-30
27837,-11,-9,-71
27838,23,21,4
27839,23,21,4
27840,21,-5,2
27841,19,15,-16
27842,19,15,-16
27843,29,-34,28
27844,29,-34,28
27845,4,7,4
27846,-9,-75,-36
27847,-9,-75,-36
27848,23,15,18
27849,31,-28,67
27850,31,-28,67
27851,-17,77,-7
27852,-17,77,-7
27853,-15,-71,-70
27854,11,51,19
27855,11,51,19
27856,8,-12,-17
27857,-24,-9,-45
27858,-24,-9,-45
27859,55,15,45
27860,55,15,45
27861,-12,40,-16
27862,9,-9,-55
27863,9,-9,-55
27864,42,28,-9
27865,-3,-19,0
27866,-3,-19,0
27867,-4,-14,-23
27868,-4,-14,-23
27869,0,-10,-11
27870,9,-40,17
27871,9,-40,17
27872,23,53,-21
27873,-16,-12,25
27874,-16,-12,25
27875,-21,30,15
27876,-21,30,15
27877,26,13,-7
27878,10,30,-1
27879,10,30,-1
27880,28,-20,10
27881,-1,15,-37
27882,-1,15,-37
27883,-21,-50,-19
27884,-21,-50,-19
27885,4,-39,21
27886,2,-28,-4
27887,2,-28,-4
27888,-14,86,0
27889,-7,4,-6
27890,-7,4,-6
27891,22,16,22
27892,22,16,22
27893,19,-43,5
27894,21,9,-15
27895,21,9,-15
27896,39,-61,-40
27897,32,31,-31
27898,32,31,-31
27899,9,-70,-4
27900,9,-70,-4
27901,36,17,-21
27902,41,-21,9
27903,41,-21,9
27904,36,28,-13
27905,-6,-36,17
27906,-6,-36,17
27907,23,61,12
27908,23,61,12
27909,-2,-39,19
27910,11,15,-26
27911,11,15,-26
27912,26,-52,-24
27913,26,-52,-24
27914,15,38,-46
27915,26,-89,12
27916,26,-89,12
27917,10,59,-19
27918,-36,-60,-30
27919,-36,-60,-30
27920,6,76,-19
27921,6,76,-19
27922,32,-62,29
27923,-9,47,-24
27924,-9,47,-24
27925,24,-31,8
27926,55,98,44
27927,55,98,44
27928,-13,-69,12
27929,-13,-69,12
27930,-16,56,35
27931,32,-48,60
27932,32,-48,60
27933,-3,47,-35
27934,-29,-49,28
27935,-29,-49,28
27936,10,65,41
27937,10,65,41
27938,5,-47,6
27939,10,43,-11
27940,10,43,-11
27941,-11,-86,113
27942,-32,196,-110
27943,-32,196,-110
27944,-12,-195,1
27945,-12,-195,1
27946,27,180,-6
27947,-10,-181,35
27948,-10,-181,35
27949,26,139,2
27950,22,-106,21
27951,22,-106,21
27952,7,129,-35
27953,7,129,-35
27954,27,-123,-42
27955,46,116,77
27956,46,116,77
27957,13,-70,-21
27958,13,91,-7
27959,13,91,-7
27960,-7,-38,10
27961,-7,-38,10
27962,-10,45,5
27963,-13,-19,31
27964,-13,-19,31
27965,6,16,-12
27966,12,23,-33
27967,12,23,-33
