index_no,file_name,time_of_creation
1,data\15-08-2024\15082024_171211.csv,2024-08-15 17:12:11
2,data\15-08-2024\15082024_171339.csv,2024-08-15 17:13:39
1,data\15-08-2024\15082024_171434.csv,2024-08-15 17:14:34
2,data\15-08-2024\15082024_171839.csv,2024-08-15 17:18:39
3,data\15-08-2024\15082024_172339.csv,2024-08-15 17:23:39
4,data\15-08-2024\15082024_172839.csv,2024-08-15 17:28:39
5,data\15-08-2024\15082024_173339.csv,2024-08-15 17:33:39
6,data\15-08-2024\15082024_173839.csv,2024-08-15 17:38:39
1,data\15-08-2024\15082024_174109.csv,2024-08-15 17:41:09
2,data\15-08-2024\15082024_174339.csv,2024-08-15 17:43:39
3,data\15-08-2024\15082024_174839.csv,2024-08-15 17:48:39
4,data\15-08-2024\15082024_175339.csv,2024-08-15 17:53:39
1,data\17-08-2024\17082024_105628.csv,2024-08-17 10:56:28
1,data\17-08-2024\17082024_105807.csv,2024-08-17 10:58:07
1,data\17-08-2024\17082024_105958.csv,2024-08-17 10:59:58
2,data\17-08-2024\17082024_110414.csv,2024-08-17 11:04:14
3,data\17-08-2024\17082024_110914.csv,2024-08-17 11:09:14
4,data\17-08-2024\17082024_111414.csv,2024-08-17 11:14:14
5,data\17-08-2024\17082024_111914.csv,2024-08-17 11:19:14
