SNO,Xdata,Ydata,Zdata
0,-21,-80,0
1,-21,-80,0
2,-67,106,50
3,25,-140,-50
4,25,-140,-50
5,-1,54,56
6,49,-64,-158
7,49,-64,-158
8,-85,56,38
9,-85,56,38
10,14,-29,91
11,-31,-78,-39
12,-31,-78,-39
13,35,-38,-42
14,0,-18,-33
15,0,-18,-33
16,-82,-10,38
17,-82,-10,38
18,12,-116,88
19,28,13,-95
20,28,13,-95
21,24,-57,-123
22,-52,66,60
23,-52,66,60
24,-50,-52,1
25,-50,-52,1
26,-6,-77,8
27,12,-4,-125
28,12,-4,-125
29,-68,30,-40
30,-19,-5,47
31,-19,-5,47
32,-60,-85,26
33,-60,-85,26
34,-12,-10,-28
35,52,-14,-137
36,52,-14,-137
37,-88,55,-17
38,-88,55,-17
39,-14,-52,59
40,7,-50,42
41,7,-50,42
42,20,-59,-132
43,40,-3,-76
44,40,-3,-76
45,-80,53,-9
46,-80,53,-9
47,3,-155,116
48,36,28,-35
49,36,28,-35
50,-30,-73,-187
51,-94,46,45
52,-94,46,45
53,-84,-43,-8
54,-84,-43,-8
55,-11,-99,54
56,86,11,-50
57,86,11,-50
58,-28,0,-110
59,-43,-25,131
60,-43,-25,131
61,-3,-40,78
62,-3,-40,78
63,0,-86,-124
64,46,-54,-18
65,46,-54,-18
66,-101,104,-72
67,-79,-144,87
68,-79,-144,87
69,-16,-34,82
70,-16,-34,82
71,11,-21,-170
72,-20,-30,69
73,-20,-30,69
74,-55,107,28
75,-47,-127,61
76,-47,-127,61
77,37,-29,-33
78,37,-29,-33
79,31,-20,-148
80,-37,-38,36
81,-37,-38,36
82,3,-64,33
83,-44,-61,17
84,-44,-61,17
85,77,-29,-112
86,77,-29,-112
87,-10,-1,-68
88,-89,47,49
89,-89,47,49
90,-2,-70,71
91,-9,-6,-106
92,-9,-6,-106
93,87,-54,-77
94,87,-54,-77
95,-71,117,-21
96,-76,-139,44
97,-76,-139,44
98,45,-103,157
99,12,70,-106
100,12,70,-106
101,-3,-57,-89
102,-3,-57,-89
103,-33,97,53
104,-47,-30,53
105,-47,-30,53
106,26,-56,7
107,3,0,-134
108,3,0,-134
109,-41,49,-30
110,-41,49,-30
111,13,20,133
112,-34,-106,89
113,-34,-106,89
114,42,-46,-144
115,42,-46,-144
116,5,18,-55
117,-134,99,-27
118,-134,99,-27
119,26,-186,17
120,-33,53,17
121,-33,53,17
122,42,-34,-181
123,42,-34,-181
124,-33,84,-36
125,-69,-100,88
126,-69,-100,88
127,24,-100,130
128,58,37,-108
129,58,37,-108
130,-4,-109,-99
