index_no,file_name,time_of_creation
1,data\17-08-2024\17082024_160243.csv,2024-08-17 16:02:43
1,data\17-08-2024\17082024_160527.csv,2024-08-17 16:05:27
1,data\17-08-2024\17082024_161134.csv,2024-08-17 16:11:34
1,data\17-08-2024\17082024_161822.csv,2024-08-17 16:18:22
2,data\17-08-2024\17082024_162250.csv,2024-08-17 16:22:50
3,data\17-08-2024\17082024_162750.csv,2024-08-17 16:27:50
1,data\17-08-2024\17082024_163947.csv,2024-08-17 16:39:47
2,data\17-08-2024\17082024_164250.csv,2024-08-17 16:42:50
1,data\17-08-2024\17082024_164715.csv,2024-08-17 16:47:15
2,data\17-08-2024\17082024_164751.csv,2024-08-17 16:47:51
3,data\17-08-2024\17082024_165251.csv,2024-08-17 16:52:51
4,data\17-08-2024\17082024_165751.csv,2024-08-17 16:57:51
